Mirko Filipovic,Kaido Hoovelson,KO,Knee to the Body,Yoshinori Umeki,1,0:49,/fighter/Mirko-Filipovic-2326,/fighter/Kaido-Hoovelson-209985,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Gabi Garcia,Yumiko Hotta,TKO,Punches,Ryogaku Wada,1,0:41,/fighter/Gabi-Garcia-181735,/fighter/Yumiko-Hotta-5968,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Hideo Tokoro,Erson Yamamoto,Submission,Armbar,Yoshinori Umeki,1,1:19,/fighter/Hideo-Tokoro-2276,/fighter/Erson-Yamamoto-211093,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Tenshin Nasukawa,Dylan Oligo,Submission,Guillotine Choke,Ryogaku Wada,2,0:37,/fighter/Tenshin-Nasukawa-241529,/fighter/Dylan-Oligo-101087,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Amir Aliakbari,Valentin Moldavsky,Decision,Split,Ryogaku Wada,2,5:00,/fighter/Amir-Aliakbari-199121,/fighter/Valentin-Moldavsky-191187,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Mirko Filipovic,Amir Aliakbari,KO,Punches,Yoshinori,1,2:03,/fighter/Mirko-Filipovic-2326,/fighter/Amir-Aliakbari-199121,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Hayato Sakurai,Wataru Sakata,TKO,Punches,Ryogaku Wada,2,2:37,/fighter/Hayato-Sakurai-432,/fighter/Wataru-Sakata-1447,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Rena Kubota,Hanna Gujwan,KO,Kick to the Body,Jason Herzog,3,2:47,/fighter/Rena-Kubota-209061,/fighter/Hanna-Gujwan-214667,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Kizaemon Saiga,Dillin West,TKO,Punch and Stomp,Jason Herzog,1,2:03,/fighter/Kizaemon-Saiga-175639,/fighter/Dillin-West-75954,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Kron Gracie,Tatsuya Kawajiri,Submission,Rear-Naked Choke,Jason Herzog,2,2:05,/fighter/Kron-Gracie-116971,/fighter/Tatsuya-Kawajiri-1326,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Andy Nguyen,Miyu Yamamoto,Technical Submission,Armbar,Jason Herzog,1,4:42,/fighter/Andy-Nguyen-64707,/fighter/Miyu-Yamamoto-231061,0016-11-07T00:00:00.000-05:17:32,Rizin,Rizin 4,Rizin Fighting World Grand Prix 2016: Final Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-4-Rizin-Fighting-World-Grand-Prix-2016-Final-Round-53685
Yushin Okami,Paul Bradley,Decision,Split,Keith Peterson,3,5:00,/fighter/Yushin-Okami-5569,/fighter/Paul-Bradley-19726,0016-11-07T00:00:00.000-05:17:32,WSOF,WSOF 34,Gaethje vs. Firmino,"The Theater at Madison Square Garden, New York City, New York, United States",http://www.sherdog.com/events/WSOF-34-Gaethje-vs-Firmino-54459
