timeout,result
0,1
0,0
0,1
0,0
270,1
-270,0
0,1
0,0
0,1
0,0
0,1
0,0
0,1
0,0
-70,1
70,0
-40,1
40,0
-50,1
50,0
-130,1
130,0
-140,1
140,0
-120,1
120,0
70,1
-70,0
0,1
0,0
210,1
-210,0
70,1
-70,0
140,1
-140,0
160,1
-160,0
-130,1
130,0
0,1
0,0
260,1
-260,0
0,1
0,0
160,1
-160,0
0,1
0,0
-250,1
250,0
50,1
-50,0
250,1
-250,0
250,1
-250,0
-30,1
30,0
-140,1
140,0
-20,1
20,0
-180,1
180,0
200,1
-200,0
-220,1
220,0
160,1
-160,0
70,1
-70,0
170,1
-170,0
290,1
-290,0
-160,1
160,0
70,1
-70,0
-70,1
70,0
150,1
-150,0
0,1
0,0
-110,1
110,0
-160,1
160,0
170,1
-170,0
0,1
0,0
-70,1
70,0
-90,1
90,0
-180,1
180,0
60,1
-60,0
70,1
-70,0
0,1
0,0
190,1
-190,0
0,1
0,0
-200,1
200,0
-50,1
50,0
110,1
-110,0
0,1
0,0
-20,1
20,0
-10,1
10,0
120,1
-120,0
100,1
-100,0
100,1
-100,0
-230,1
230,0
70,1
-70,0
-110,1
110,0
30,1
-30,0
120,1
-120,0
-100,1
100,0
-170,1
170,0
0,1
0,0
-70,1
70,0
20,1
-20,0
30,1
-30,0
-80,1
80,0
-140,1
140,0
-100,1
100,0
-70,1
70,0
160,1
-160,0
-250,1
250,0
140,1
-140,0
80,1
-80,0
90,1
-90,0
0,1
0,0
40,1
-40,0
-140,1
140,0
-50,1
50,0
-20,1
20,0
200,1
-200,0
0,1
0,0
160,1
-160,0
-100,1
100,0
0,1
0,0
40,1
-40,0
-50,1
50,0
-100,1
100,0
0,1
0,0
180,1
-180,0
250,1
-250,0
-220,1
220,0
-130,1
130,0
70,1
-70,0
-30,1
30,0
100,1
-100,0
-240,1
240,0
240,1
-240,0
-160,1
160,0
-90,1
90,0
-10,1
10,0
-40,1
40,0
150,1
-150,0
190,1
-190,0
60,1
-60,0
-240,1
240,0
0,1
0,0
140,1
-140,0
60,1
-60,0
140,1
-140,0
-60,1
60,0
0,1
0,0
-60,1
60,0
20,1
-20,0
-50,1
50,0
-60,1
60,0
10,1
-10,0
-120,1
120,0
0,1
0,0
50,1
-50,0
50,1
-50,0
-30,1
30,0
90,1
-90,0
220,1
-220,0
180,1
-180,0
0,1
0,0
-140,1
140,0
0,1
0,0
80,1
-80,0
50,1
-50,0
0,1
0,0
0,1
0,0
260,1
-260,0
90,1
-90,0
160,1
-160,0
-120,1
120,0
290,1
-290,0
0,1
0,0
0,1
0,0
20,1
-20,0
70,1
-70,0
-60,1
60,0
0,1
0,0
-90,1
90,0
240,1
-240,0
70,1
-70,0
-50,1
50,0
30,1
-30,0
200,1
-200,0
110,1
-110,0
0,1
0,0
10,1
-10,0
-170,1
170,0
-70,1
70,0
-20,1
20,0
-50,1
50,0
-260,1
260,0
40,1
-40,0
-60,1
60,0
30,1
-30,0
-90,1
90,0
50,1
-50,0
-70,1
70,0
230,1
-230,0
50,1
-50,0
160,1
-160,0
150,1
-150,0
50,1
-50,0
-170,1
170,0
-10,1
10,0
-40,1
40,0
130,1
-130,0
30,1
-30,0
-50,1
50,0
-30,1
30,0
-60,1
60,0
210,1
-210,0
-40,1
40,0
30,1
-30,0
30,1
-30,0
-60,1
60,0
30,1
-30,0
0,1
0,0
0,1
0,0
30,1
-30,0
295,1
-295,0
0,1
0,0
140,1
-140,0
20,1
-20,0
120,1
-120,0
100,1
-100,0
-50,1
50,0
-150,1
150,0
130,1
-130,0
0,1
0,0
-230,1
230,0
0,1
0,0
0,1
0,0
40,1
-40,0
80,1
-80,0
20,1
-20,0
-60,1
60,0
250,1
-250,0
190,1
-190,0
20,1
-20,0
40,1
-40,0
150,1
-150,0
-70,1
70,0
-345,1
345,0
30,1
-30,0
100,1
-100,0
-80,1
80,0
20,1
-20,0
110,1
-110,0
-110,1
110,0
-170,1
170,0
40,1
-40,0
-30,1
30,0
-30,1
30,0
-100,1
100,0
-20,1
20,0
100,1
-100,0
50,1
-50,0
-20,1
20,0
30,1
-30,0
50,1
-50,0
70,1
-70,0
40,1
-40,0
90,1
-90,0
-60,1
60,0
-40,1
40,0
190,1
-190,0
-190,1
190,0
-100,1
100,0
10,1
-10,0
10,1
-10,0
-80,1
80,0
-210,1
210,0
50,1
-50,0
-270,1
270,0
-60,1
60,0
260,1
-260,0
10,1
-10,0
0,1
0,0
-30,1
30,0
0,1
0,0
40,1
-40,0
-90,1
90,0
-100,1
100,0
50,1
-50,0
-185,1
185,0
50,1
-50,0
100,1
-100,0
250,1
-250,0
100,1
-100,0
-110,1
110,0
-60,1
60,0
20,1
-20,0
10,1
-10,0
-150,1
150,0
170,1
-170,0
-100,1
100,0
-20,1
20,0
-220,1
220,0
20,1
-20,0
-110,1
110,0
-40,1
40,0
110,1
-110,0
-230,1
230,0
-375,1
375,0
120,1
-120,0
20,1
-20,0
-285,1
285,0
50,1
-50,0
-190,1
190,0
0,1
0,0
50,1
-50,0
-30,1
30,0
200,1
-200,0
0,1
0,0
290,1
-290,0
355,1
-355,0
-60,1
60,0
-140,1
140,0
120,1
-120,0
200,1
-200,0
-40,1
40,0
170,1
-170,0
90,1
-90,0
0,1
0,0
-240,1
240,0
495,1
-495,0
-190,1
190,0
230,1
-230,0
-20,1
20,0
-60,1
60,0
525,1
-525,0
-10,1
10,0
190,1
-190,0
20,1
-20,0
50,1
-50,0
265,1
-265,0
-285,1
285,0
210,1
-210,0
-465,1
465,0
0,1
0,0
0,1
0,0
-70,1
70,0
170,1
-170,0
-220,1
220,0
395,1
-395,0
0,1
0,0
130,1
-130,0
-120,1
120,0
355,1
-355,0
465,1
-465,0
-365,1
365,0
-545,1
545,0
95,1
-95,0
0,1
0,0
70,1
-70,0
205,1
-205,0
-110,1
110,0
20,1
-20,0
-280,1
280,0
325,1
-325,0
150,1
-150,0
-50,1
50,0
375,1
-375,0
-150,1
150,0
-150,1
150,0
-150,1
150,0
-10,1
10,0
275,1
-275,0
355,1
-355,0
-335,1
335,0
-30,1
30,0
325,1
-325,0
240,1
-240,0
-315,1
315,0
315,1
-315,0
-220,1
220,0
285,1
-285,0
230,1
-230,0
345,1
-345,0
-385,1
385,0
385,1
-385,0
0,1
0,0
-150,1
150,0
0,1
0,0
110,1
-110,0
355,1
-355,0
295,1
-295,0
-270,1
270,0
180,1
-180,0
120,1
-120,0
-385,1
385,0
-60,1
60,0
345,1
-345,0
-275,1
275,0
90,1
-90,0
0,1
0,0
-60,1
60,0
-40,1
40,0
-185,1
185,0
0,1
0,0
-60,1
60,0
-265,1
265,0
395,1
-395,0
20,1
-20,0
-130,1
130,0
525,1
-525,0
50,1
-50,0
285,1
-285,0
-60,1
60,0
-425,1
425,0
175,1
-175,0
175,1
-175,0
355,1
-355,0
-245,1
245,0
80,1
-80,0
435,1
-435,0
-315,1
315,0
20,1
-20,0
635,1
-635,0
355,1
-355,0
-110,1
110,0
240,1
-240,0
0,1
0,0
-335,1
335,0
245,1
-245,0
-255,1
255,0
275,1
-275,0
0,1
0,0
-385,1
385,0
-10,1
10,0
160,1
-160,0
455,1
-455,0
295,1
-295,0
565,1
-565,0
-405,1
405,0
140,1
-140,0
-160,1
160,0
0,1
0,0
-285,1
285,0
455,1
-455,0
-90,1
90,0
60,1
-60,0
-70,1
70,0
-315,1
315,0
595,1
-595,0
-585,1
585,0
265,1
-265,0
0,1
0,0
175,1
-175,0
30,1
-30,0
90,1
-90,0
-50,1
50,0
235,1
-235,0
-20,1
20,0
190,1
-190,0
190,1
-190,0
140,1
-140,0
-545,1
545,0
0,1
0,0
-50,1
50,0
60,1
-60,0
-20,1
20,0
505,1
-505,0
-90,1
90,0
50,1
-50,0
175,1
-175,0
-40,1
40,0
425,1
-425,0
-160,1
160,0
465,1
-465,0
-130,1
130,0
-265,1
265,0
-315,1
315,0
315,1
-315,0
615,1
-615,0
0,1
0,0
505,1
-505,0
-40,1
40,0
100,1
-100,0
-40,1
40,0
155,1
-155,0
10,1
-10,0
455,1
-455,0
60,1
-60,0
20,1
-20,0
-355,1
355,0
20,1
-20,0
-50,1
50,0
-70,1
70,0
485,1
-485,0
415,1
-415,0
375,1
-375,0
145,1
-145,0
-585,1
585,0
305,1
-305,0
250,1
-250,0
10,1
-10,0
555,1
-555,0
180,1
-180,0
285,1
-285,0
-165,1
165,0
0,1
0,0
20,1
-20,0
-125,1
125,0
-245,1
245,0
325,1
-325,0
-395,1
395,0
-455,1
455,0
435,1
-435,0
60,1
-60,0
545,1
-545,0
210,1
-210,0
-535,1
535,0
10,1
-10,0
0,1
0,0
120,1
-120,0
-180,1
180,0
-205,1
205,0
435,1
-435,0
50,1
-50,0
150,1
-150,0
-40,1
40,0
295,1
-295,0
545,1
-545,0
170,1
-170,0
-70,1
70,0
-200,1
200,0
160,1
-160,0
10,1
-10,0
190,1
-190,0
-150,1
150,0
0,1
0,0
205,1
-205,0
-50,1
50,0
30,1
-30,0
80,1
-80,0
315,1
-315,0
-395,1
395,0
30,1
-30,0
415,1
-415,0
505,1
-505,0
30,1
-30,0
-395,1
395,0
-210,1
210,0
100,1
-100,0
335,1
-335,0
525,1
-525,0
110,1
-110,0
605,1
-605,0
90,1
-90,0
-220,1
220,0
495,1
-495,0
0,1
0,0
0,1
0,0
170,1
-170,0
-285,1
285,0
40,1
-40,0
10,1
-10,0
100,1
-100,0
545,1
-545,0
230,1
-230,0
0,1
0,0
-160,1
160,0
190,1
-190,0
345,1
-345,0
150,1
-150,0
-315,1
315,0
70,1
-70,0
-100,1
100,0
50,1
-50,0
70,1
-70,0
60,1
-60,0
-635,1
635,0
60,1
-60,0
40,1
-40,0
60,1
-60,0
40,1
-40,0
445,1
-445,0
-100,1
100,0
90,1
-90,0
-10,1
10,0
-80,1
80,0
-415,1
415,0
-20,1
20,0
40,1
-40,0
0,1
0,0
70,1
-70,0
30,1
-30,0
-20,1
20,0
-250,1
250,0
-140,1
140,0
170,1
-170,0
20,1
-20,0
605,1
-605,0
-70,1
70,0
-120,1
120,0
0,1
0,0
-70,1
70,0
-170,1
170,0
225,1
-225,0
-385,1
385,0
60,1
-60,0
150,1
-150,0
525,1
-525,0
325,1
-325,0
-485,1
485,0
-120,1
120,0
375,1
-375,0
70,1
-70,0
-80,1
80,0
0,1
0,0
170,1
-170,0
210,1
-210,0
-535,1
535,0
210,1
-210,0
-120,1
120,0
165,1
-165,0
-170,1
170,0
455,1
-455,0
-150,1
150,0
-200,1
200,0
-100,1
100,0
160,1
-160,0
285,1
-285,0
-120,1
120,0
-120,1
120,0
80,1
-80,0
-215,1
215,0
90,1
-90,0
-90,1
90,0
-190,1
190,0
20,1
-20,0
295,1
-295,0
-160,1
160,0
100,1
-100,0
100,1
-100,0
170,1
-170,0
10,1
-10,0
10,1
-10,0
0,1
0,0
220,1
-220,0
50,1
-50,0
-140,1
140,0
10,1
-10,0
30,1
-30,0
0,1
0,0
70,1
-70,0
30,1
-30,0
345,1
-345,0
70,1
-70,0
215,1
-215,0
90,1
-90,0
160,1
-160,0
-375,1
375,0
235,1
-235,0
-30,1
30,0
190,1
-190,0
-160,1
160,0
50,1
-50,0
160,1
-160,0
120,1
-120,0
385,1
-385,0
-90,1
90,0
50,1
-50,0
-130,1
130,0
50,1
-50,0
-130,1
130,0
-110,1
110,0
0,1
0,0
-405,1
405,0
-110,1
110,0
-190,1
190,0
0,1
0,0
50,1
-50,0
-80,1
80,0
-345,1
345,0
170,1
-170,0
-10,1
10,0
-150,1
150,0
-30,1
30,0
30,1
-30,0
-10,1
10,0
-40,1
40,0
-210,1
210,0
-100,1
100,0
60,1
-60,0
-140,1
140,0
295,1
-295,0
295,1
-295,0
20,1
-20,0
185,1
-185,0
-20,1
20,0
-355,1
355,0
-150,1
150,0
110,1
-110,0
20,1
-20,0
100,1
-100,0
-80,1
80,0
90,1
-90,0
100,1
-100,0
525,1
-525,0
70,1
-70,0
0,1
0,0
-30,1
30,0
-30,1
30,0
70,1
-70,0
60,1
-60,0
175,1
-175,0
-70,1
70,0
-70,1
70,0
305,1
-305,0
-100,1
100,0
-200,1
200,0
-170,1
170,0
270,1
-270,0
395,1
-395,0
-70,1
70,0
85,1
-85,0
0,1
0,0
70,1
-70,0
-170,1
170,0
-90,1
90,0
585,1
-585,0
-120,1
120,0
30,1
-30,0
-150,1
150,0
-80,1
80,0
-160,1
160,0
-70,1
70,0
465,1
-465,0
-100,1
100,0
80,1
-80,0
190,1
-190,0
-150,1
150,0
20,1
-20,0
0,1
0,0
0,1
0,0
0,1
0,0
-455,1
455,0
-80,1
80,0
225,1
-225,0
120,1
-120,0
-425,1
425,0
-120,1
120,0
170,1
-170,0
-80,1
80,0
0,1
0,0
365,1
-365,0
-200,1
200,0
555,1
-555,0
-205,1
205,0
-140,1
140,0
535,1
-535,0
-90,1
90,0
245,1
-245,0
-110,1
110,0
385,1
-385,0
40,1
-40,0
-20,1
20,0
-545,1
545,0
100,1
-100,0
70,1
-70,0
-435,1
435,0
-245,1
245,0
-200,1
200,0
0,1
0,0
-110,1
110,0
-130,1
130,0
475,1
-475,0
130,1
-130,0
-110,1
110,0
100,1
-100,0
-140,1
140,0
195,1
-195,0
-70,1
70,0
-355,1
355,0
240,1
-240,0
130,1
-130,0
120,1
-120,0
20,1
-20,0
70,1
-70,0
425,1
-425,0
180,1
-180,0
495,1
-495,0
10,1
-10,0
0,1
0,0
355,1
-355,0
220,1
-220,0
245,1
-245,0
140,1
-140,0
130,1
-130,0
-90,1
90,0
30,1
-30,0
-20,1
20,0
0,1
0,0
10,1
-10,0
-60,1
60,0
-10,1
10,0
-10,1
10,0
20,1
-20,0
-70,1
70,0
80,1
-80,0
-100,1
100,0
-80,1
80,0
-30,1
30,0
-495,1
495,0
225,1
-225,0
60,1
-60,0
-295,1
295,0
515,1
-515,0
-270,1
270,0
465,1
-465,0
325,1
-325,0
-130,1
130,0
-60,1
60,0
40,1
-40,0
-30,1
30,0
375,1
-375,0
0,1
0,0
405,1
-405,0
535,1
-535,0
305,1
-305,0
-80,1
80,0
-190,1
190,0
335,1
-335,0
200,1
-200,0
365,1
-365,0
-130,1
130,0
585,1
-585,0
30,1
-30,0
0,1
0,0
285,1
-285,0
-70,1
70,0
830,1
-830,0
960,1
-960,0
0,1
0,0
275,1
-275,0
575,1
-575,0
-455,1
455,0
-295,1
295,0
505,1
-505,0
-40,1
40,0
555,1
-555,0
0,1
0,0
275,1
-275,0
175,1
-175,0
535,1
-535,0
660,1
-660,0
-210,1
210,0
-190,1
190,0
465,1
-465,0
-170,1
170,0
445,1
-445,0
0,1
0,0
0,1
0,0
0,1
0,0
0,1
0,0
-465,1
465,0
20,1
-20,0
-170,1
170,0
-130,1
130,0
-365,1
365,0
-120,1
120,0
-395,1
395,0
-30,1
30,0
130,1
-130,0
-60,1
60,0
140,1
-140,0
70,1
-70,0
505,1
-505,0
-275,1
275,0
900,1
-900,0
315,1
-315,0
-100,1
100,0
-110,1
110,0
-70,1
70,0
50,1
-50,0
375,1
-375,0
235,1
-235,0
-140,1
140,0
-105,1
105,0
40,1
-40,0
80,1
-80,0
525,1
-525,0
-150,1
150,0
345,1
-345,0
130,1
-130,0
60,1
-60,0
455,1
-455,0
255,1
-255,0
-70,1
70,0
0,1
0,0
395,1
-395,0
20,1
-20,0
620,1
-620,0
-525,1
525,0
0,1
0,0
0,1
0,0
-70,1
70,0
0,1
0,0
125,1
-125,0
635,1
-635,0
-230,1
230,0
-70,1
70,0
585,1
-585,0
0,1
0,0
0,1
0,0
0,1
0,0
545,1
-545,0
-10,1
10,0
455,1
-455,0
0,1
0,0
40,1
-40,0
-70,1
70,0
-545,1
545,0
435,1
-435,0
90,1
-90,0
535,1
-535,0
415,1
-415,0
385,1
-385,0
-230,1
230,0
20,1
-20,0
465,1
-465,0
0,1
0,0
-70,1
70,0
50,1
-50,0
0,1
0,0
595,1
-595,0
435,1
-435,0
-365,1
365,0
160,1
-160,0
-90,1
90,0
0,1
0,0
415,1
-415,0
-90,1
90,0
405,1
-405,0
385,1
-385,0
120,1
-120,0
0,1
0,0
120,1
-120,0
-535,1
535,0
385,1
-385,0
-150,1
150,0
-160,1
160,0
90,1
-90,0
-50,1
50,0
-345,1
345,0
475,1
-475,0
-375,1
375,0
-30,1
30,0
395,1
-395,0
-100,1
100,0
210,1
-210,0
90,1
-90,0
-210,1
210,0
-140,1
140,0
80,1
-80,0
-100,1
100,0
-355,1
355,0
90,1
-90,0
-110,1
110,0
-425,1
425,0
-565,1
565,0
0,1
0,0
110,1
-110,0
-50,1
50,0
-70,1
70,0
-20,1
20,0
70,1
-70,0
-305,1
305,0
-225,1
225,0
980,1
-980,0
-80,1
80,0
20,1
-20,0
-200,1
200,0
-625,1
625,0
285,1
-285,0
60,1
-60,0
150,1
-150,0
-395,1
395,0
-150,1
150,0
-70,1
70,0
-220,1
220,0
-515,1
515,0
-200,1
200,0
-145,1
145,0
-355,1
355,0
605,1
-605,0
140,1
-140,0
210,1
-210,0
285,1
-285,0
20,1
-20,0
-140,1
140,0
-220,1
220,0
445,1
-445,0
-90,1
90,0
205,1
-205,0
0,1
0,0
125,1
-125,0
-820,1
820,0
-200,1
200,0
-110,1
110,0
100,1
-100,0
-30,1
30,0
220,1
-220,0
-555,1
555,0
-295,1
295,0
355,1
-355,0
0,1
0,0
0,1
0,0
-345,1
345,0
-200,1
200,0
195,1
-195,0
435,1
-435,0
0,1
0,0
-230,1
230,0
-160,1
160,0
-465,1
465,0
140,1
-140,0
80,1
-80,0
240,1
-240,0
80,1
-80,0
40,1
-40,0
175,1
-175,0
160,1
-160,0
-305,1
305,0
-50,1
50,0
195,1
-195,0
-485,1
485,0
60,1
-60,0
-120,1
120,0
215,1
-215,0
-60,1
60,0
230,1
-230,0
-20,1
20,0
0,1
0,0
-870,1
870,0
-160,1
160,0
-405,1
405,0
-355,1
355,0
165,1
-165,0
-120,1
120,0
-40,1
40,0
190,1
-190,0
-220,1
220,0
90,1
-90,0
680,1
-680,0
-160,1
160,0
-30,1
30,0
-30,1
30,0
-465,1
465,0
-595,1
595,0
415,1
-415,0
435,1
-435,0
60,1
-60,0
355,1
-355,0
80,1
-80,0
385,1
-385,0
-385,1
385,0
180,1
-180,0
525,1
-525,0
-130,1
130,0
-810,1
810,0
50,1
-50,0
-515,1
515,0
-70,1
70,0
70,1
-70,0
-345,1
345,0
-250,1
250,0
375,1
-375,0
-20,1
20,0
80,1
-80,0
80,1
-80,0
60,1
-60,0
-650,1
650,0
-130,1
130,0
-535,1
535,0
0,1
0,0
205,1
-205,0
85,1
-85,0
385,1
-385,0
760,1
-760,0
150,1
-150,0
0,1
0,0
-130,1
130,0
-555,1
555,0
-80,1
80,0
345,1
-345,0
-325,1
325,0
-160,1
160,0
-250,1
250,0
-140,1
140,0
80,1
-80,0
-110,1
110,0
-40,1
40,0
625,1
-625,0
-170,1
170,0
170,1
-170,0
10,1
-10,0
100,1
-100,0
270,1
-270,0
120,1
-120,0
-315,1
315,0
-150,1
150,0
355,1
-355,0
20,1
-20,0
260,1
-260,0
260,1
-260,0
100,1
-100,0
155,1
-155,0
30,1
-30,0
275,1
-275,0
-180,1
180,0
-60,1
60,0
60,1
-60,0
50,1
-50,0
545,1
-545,0
-190,1
190,0
30,1
-30,0
535,1
-535,0
20,1
-20,0
180,1
-180,0
50,1
-50,0
-30,1
30,0
-180,1
180,0
0,1
0,0
-60,1
60,0
210,1
-210,0
445,1
-445,0
-180,1
180,0
-130,1
130,0
-80,1
80,0
20,1
-20,0
40,1
-40,0
150,1
-150,0
-80,1
80,0
515,1
-515,0
115,1
-115,0
-495,1
495,0
-160,1
160,0
-90,1
90,0
-100,1
100,0
110,1
-110,0
120,1
-120,0
-265,1
265,0
315,1
-315,0
-50,1
50,0
60,1
-60,0
-110,1
110,0
150,1
-150,0
-830,1
830,0
-60,1
60,0
525,1
-525,0
-465,1
465,0
40,1
-40,0
10,1
-10,0
950,1
-950,0
-30,1
30,0
435,1
-435,0
-10,1
10,0
30,1
-30,0
80,1
-80,0
670,1
-670,0
-180,1
180,0
-120,1
120,0
120,1
-120,0
740,1
-740,0
-150,1
150,0
375,1
-375,0
70,1
-70,0
-30,1
30,0
10,1
-10,0
325,1
-325,0
0,1
0,0
690,1
-690,0
140,1
-140,0
50,1
-50,0
-70,1
70,0
60,1
-60,0
-230,1
230,0
130,1
-130,0
-260,1
260,0
-50,1
50,0
275,1
-275,0
210,1
-210,0
760,1
-760,0
-10,1
10,0
-180,1
180,0
140,1
-140,0
